actual,proposed
0.0,0.0
-0.06908771395683289,0.0
-0.0718885213136673,-6.187513434952052e-08
-0.07375572621822357,-0.006225221324712038
-0.21812087297439575,-0.1172214075922966
-0.22470109164714813,-0.17366695404052734
-0.26082804799079895,-0.26082804799079895
-0.26082804799079895,-0.0023688708897680044
-0.24041633307933807,-0.26082804799079895
-0.1446063369512558,-0.1446063369512558
-0.13456450402736664,-0.13512052595615387
-0.13456450402736664,-0.13456450402736664
-0.13512052595615387,-0.13456450402736664
-0.1356765478849411,-0.13512052595615387
-0.1373445987701416,-0.1373445987701416
-0.16178306937217712,-0.003485676134005189
-0.16370889544487,-0.16178306937217712
-0.16627667844295502,-0.16370889544487
-0.1694863736629486,-0.003485676134005189
-0.17415045201778412,-0.1694863736629486
-0.17738714814186096,-0.0038493885658681393
-0.22304661571979523,-0.19033372402191162
-0.2387094646692276,-0.23199686408042908
-0.24616777896881104,-0.24616777896881104
-0.2375815212726593,-0.25288015604019165
-0.26451119780540466,-0.25829681754112244
-0.29811280965805054,-0.2915705740451813
-0.30392804741859436,-0.30392804741859436
-0.30974313616752625,-0.30974313616752625
-0.30518847703933716,-0.31483128666877747
-0.3100423514842987,-0.30518847703933716
-0.31212255358695984,-0.3100423514842987
-0.3148961365222931,-0.31281596422195435
-0.3242836594581604,-0.3242836594581604
-0.3256962299346924,-0.3249899446964264
-0.3278150260448456,-0.3278150260448456
-0.21918973326683044,-0.004442684352397919
-0.21918973326683044,-0.21918973326683044
-0.19730335474014282,-0.19730335474014282
-0.19730335474014282,-0.19730335474014282
-0.1963639259338379,1.6543925951406635e-10
-0.1949547827243805,-0.1949547827243805
-0.22265653312206268,-0.22265653312206268
-0.22533227503299713,1.6543925951406635e-10
-0.22640256583690643,1.6543925951406635e-10
-0.14336711168289185,-0.14273136854171753
-0.2222062647342682,0.0008286806987598538
-0.2249443084001541,-0.2222062647342682
-0.22846461832523346,-0.22846461832523346
-0.27835947275161743,0.0008286806987598538
-0.28391605615615845,-0.28113776445388794
-0.2871573567390442,-0.2871573567390442
-0.29039862751960754,-0.29039862751960754
-0.3055165112018585,-0.006194733083248138
-0.3088887631893158,-0.3088887631893158
-0.3112974762916565,-0.3112974762916565
-0.3141879141330719,-0.3141879141330719
-0.3165965974330902,-0.3165965974330902
-0.2627622187137604,-0.2627622187137604
-0.2419806867837906,-0.24125847220420837
-0.38925623893737793,-0.38925623893737793
-0.39210036396980286,-0.3903938829898834
-0.34205591678619385,0.0012229428393766284
-0.34304556250572205,-0.34304556250572205
-0.3729480504989624,-0.3729480504989624
-0.3574502468109131,-0.3729480504989624
-0.3579636216163635,-0.3579636216163635
-0.3579636216163635,1.9828780284392167e-10
-0.3589903712272644,-0.3589903712272644
-0.5497400164604187,-0.007817864418029785
-0.5538904070854187,-0.5497400164604187
-0.5959321856498718,0.0015230095013976097
-0.5996295809745789,-0.5959321856498718
-0.6025874018669128,-0.011550470255315304
-0.6062847375869751,-0.011607509106397629
-0.6092424988746643,-0.6062847375869751
-0.6583497524261475,-0.6062847375869751
-0.6615298390388489,-0.6062847375869751
-0.6655048131942749,-0.6062847375869751
-0.6694796681404114,-0.6062847375869751
-0.6726595163345337,-0.6062847375869751
-0.7731040120124817,-0.6062847375869751
-0.7712302803993225,-0.6062847375869751
-0.7748317718505859,-0.6062847375869751
-0.7793336510658264,-0.6062847375869751
-0.7829349040985107,-0.6062847375869751
-0.8587606549263,-0.6062847375869751
-0.8636736869812012,-0.6062847375869751
-0.8676038980484009,-0.8636736869812012
-0.8705514073371887,-0.8636736869812012
-0.8744814991950989,-0.8636736869812012
-0.8784113526344299,-0.8636736869812012
-0.9930347204208374,-0.8636736869812012
-0.9974545240402222,-0.8636736869812012
-0.9996643662452698,-0.8636736869812012
-1.002979040145874,-0.8636736869812012
-1.0051887035369873,-0.8636736869812012
-1.0633149147033691,-0.8636736869812012
-1.0633149147033691,-0.8636736869812012
-1.0644819736480713,-0.8636736869812012
-1.0691498517990112,-0.8636736869812012
-1.0714837312698364,-0.8636736869812012
-1.3484917879104614,-0.8636736869812012
-1.3470228910446167,-0.8636736869812012
-1.3499605655670166,-0.8636736869812012
-1.3528982400894165,-0.8636736869812012
-1.3573042154312134,-0.8636736869812012
-1.5573174953460693,-0.8636736869812012
-1.5589995384216309,-0.8636736869812012
-1.562363624572754,-0.8636736869812012
-1.562363624572754,-0.8636736869812012
-1.562363624572754,-0.8636736869812012
-1.5640455484390259,-0.8636736869812012
-1.7891957759857178,-0.8636736869812012
-1.791113257408142,0.0017590757925063372
-1.7930307388305664,0.0017590757925063372
-1.7987827062606812,-1.7930307388305664
-1.8006999492645264,-1.7987827062606812
-2.0170812606811523,-1.8006999492645264
-2.0213654041290283,-1.8006999492645264
-2.0235073566436768,-1.8006999492645264
-2.0235073566436768,-1.8006999492645264
-2.0235073566436768,-1.8006999492645264
-2.4711484909057617,-1.8006999492645264
-2.473745346069336,-1.8006999492645264
-2.473745346069336,-1.8006999492645264
-2.476341962814331,-1.8006999492645264
-2.473745346069336,-1.8006999492645264
-2.473745346069336,-1.8006999492645264
-2.884892463684082,-1.8006999492645264
-2.884892463684082,-1.8006999492645264
-2.890901565551758,-1.8006999492645264
-2.8939056396484375,-1.8006999492645264
-2.8999130725860596,-1.8006999492645264
-3.1076269149780273,-1.8006999492645264
-3.110826253890991,-1.8006999492645264
-3.114025354385376,-1.8006999492645264
-3.1076269149780273,-3.114025354385376
-3.1076269149780273,-3.1076269149780273
-3.464747428894043,-2.5921955693064547e-09
-3.461209535598755,-3.464747428894043
-3.461209535598755,-0.013919118791818619
-3.461209535598755,-3.461209535598755
-3.4576711654663086,-0.013919118791818619
-4.1889519691467285,-0.014237848110496998
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.37698221206665,-4.37698221206665
-4.37698221206665,-0.014323675073683262
-4.37698221206665,-4.37698221206665
-4.463987827301025,-0.014323675073683262
-5.20997428894043,-5.2202839851379395
-5.204817771911621,2.0660936850269707e-10
-5.19965934753418,-5.19965934753418
-5.446568489074707,3.362636002979258e-10
-5.441202640533447,-5.451932907104492
-5.679686069488525,-5.690828323364258
-5.9930572509765625,-5.9930572509765625
-5.987244129180908,-5.987244129180908
-6.301506042480469,-6.31361722946167
-6.301506042480469,-6.301506042480469
-6.604323387145996,-6.604323387145996
-6.591710090637207,-6.591710090637207
-6.796403884887695,-6.796403884887695
-7.195815563201904,-7.195815563201904
-7.195815563201904,-7.195815563201904
-7.4442338943481445,-7.437332630157471
-7.451131343841553,-7.451131343841553
-7.60559606552124,-7.60559606552124
-7.612579822540283,-7.612579822540283
-7.626534461975098,-7.626534461975098
-7.626534461975098,-0.014023548923432827
-7.782426357269287,-7.77522087097168
-8.179054260253906,-8.0
-8.200573921203613,-8.0
-8.570172309875488,-8.0
-8.795136451721191,-8.0
-8.787860870361328,-8.0
-8.773295402526855,-8.0
-8.773295402526855,-8.0
-8.766005516052246,-8.0
-8.751410484313965,-8.0
-8.78587532043457,-8.0
-8.778533935546875,-8.0
-8.771186828613281,-8.0
-8.756478309631348,-0.0059343501925468445
-8.749115943908691,-8.0
-8.79182243347168,-8.0
-8.784445762634277,-8.0
-8.432341575622559,-8.0
-8.432341575622559,-8.0
-8.424683570861816,-8.0
-8.350308418273926,-8.0
-8.357948303222656,-8.0
-8.365584373474121,-8.0
-8.373214721679688,0.0017021275125443935
-8.235908508300781,-8.0
-8.250985145568848,-8.0
-8.273563385009766,-8.0
-8.296099662780762,-8.0
-8.311100006103516,-8.0
-8.378911972045898,-8.0
-8.401322364807129,-8.0
-8.431137084960938,-8.0
-8.393301010131836,-8.0
-8.481781959533691,-8.0
-8.525768280029297,-8.0
-8.464110374450684,0.0010446428786963224
-8.493075370788574,-8.0
-8.53104019165039,-8.0
-8.492142677307129,-8.0
-8.294936180114746,-8.0
-8.31629753112793,-8.0
-8.222160339355469,-8.0
-8.26047420501709,0.0056562284007668495
-8.222904205322266,-8.0
-8.22994327545166,0.0070739323273301125
-8.222904205322266,-8.0
-8.215862274169922,0.007066430523991585
-8.215862274169922,-8.0
-8.208462715148926,-8.0
-7.252095699310303,0.007716971915215254
-7.231594562530518,0.010019360110163689
-7.211063861846924,-7.2179107666015625
-7.1836419105529785,-7.211063861846924
-6.997929573059082,0.009985851123929024
-6.9640655517578125,-6.970844745635986
-6.936916351318359,-6.943708419799805
-6.712690830230713,-6.719359397888184
-6.6859893798828125,0.006239268928766251
-6.561649799346924,-6.561649799346924
-6.525912284851074,-6.512909889221191
-6.545396327972412,-6.525912284851074
-6.564855575561523,-6.545396327972412
-6.496432304382324,0.007916704751551151
-6.521972179412842,-6.496432304382324
-6.5410990715026855,0.012060827575623989
-6.566566467285156,-6.5410990715026855
-6.579283714294434,-6.566566467285156
-6.451158046722412,0.008471974171698093
-6.494815349578857,-6.476119518280029
